NAME,state,county,Estimate!!Total
"Washington County, Utah",49,053,160537.0
"Kane County, Utah",49,025,7350.0
"Grand County, Utah",49,019,9616.0
"Rich County, Utah",49,033,2350.0
"Wasatch County, Utah",49,051,30523.0
"Box Elder County, Utah",49,003,53001.0
"Iron County, Utah",49,021,49691.0
"Sevier County, Utah",49,041,21118.0
"Weber County, Utah",49,057,247731.0
"Duchesne County, Utah",49,013,20219.0
"San Juan County, Utah",49,037,15281.0
"Salt Lake County, Utah",49,035,1120805.0
"Uintah County, Utah",49,047,36323.0
"Daggett County, Utah",49,009,612.0
"Davis County, Utah",49,011,340621.0
"Wayne County, Utah",49,055,2694.0
"Carbon County, Utah",49,007,20356.0
"Emery County, Utah",49,015,10248.0
"Morgan County, Utah",49,029,11391.0
"Cache County, Utah",49,005,122336.0
"Garfield County, Utah",49,017,5017.0
"Juab County, Utah",49,023,10948.0
"Rutland County, Vermont",50,021,59273.0
